datetime,open,high,low,close,volume
2023-03-25 06:00:00,20.596,20.686,20.488,20.621,347541
2023-03-25 07:00:00,20.621,20.714,20.592,20.598,248739
2023-03-25 08:00:00,20.598,20.642,20.446,20.517,454281
2023-03-25 09:00:00,20.517,20.589,20.39,20.574,463933
2023-03-25 10:00:00,20.574,20.634,20.472,20.553,460971
2023-03-25 11:00:00,20.552,20.697,20.533,20.648,340336
2023-03-25 12:00:00,20.649,20.781,20.606,20.692,442754
2023-03-25 13:00:00,20.692,20.89,20.549,20.838,732546
2023-03-25 14:00:00,20.839,20.966,20.597,20.631,789933
2023-03-25 15:00:00,20.631,20.95,20.574,20.858,860262
2023-03-25 16:00:00,20.859,20.908,20.658,20.69,559902
2023-03-25 17:00:00,20.689,20.741,20.507,20.632,624321
2023-03-25 18:00:00,20.632,20.698,20.446,20.455,489668
2023-03-25 19:00:00,20.456,20.456,20.074,20.133,1523142
2023-03-25 20:00:00,20.132,20.395,20.102,20.316,647593
2023-03-25 21:00:00,20.317,20.378,20.181,20.217,382588
2023-03-25 22:00:00,20.217,20.43,20.196,20.325,430642
2023-03-25 23:00:00,20.324,20.443,20.284,20.394,293540
2023-03-26 00:00:00,20.395,20.674,20.27,20.618,616103
2023-03-26 01:00:00,20.62,20.75,20.602,20.656,474301
2023-03-26 02:00:00,20.657,20.732,20.64,20.671,281269
2023-03-26 03:00:00,20.671,20.72,20.622,20.669,281220
2023-03-26 04:00:00,20.669,20.698,20.619,20.694,221830
2023-03-26 05:00:00,20.694,20.833,20.621,20.79,378322
2023-03-26 06:00:00,20.79,20.873,20.685,20.731,379026
2023-03-26 07:00:00,20.731,20.789,20.71,20.761,256533
2023-03-26 08:00:00,20.761,20.958,20.688,20.862,757470
2023-03-26 09:00:00,20.859,20.9,20.731,20.78,517139
2023-03-26 10:00:00,20.78,20.806,20.688,20.789,311844
2023-03-26 11:00:00,20.79,20.851,20.712,20.829,357393
2023-03-26 12:00:00,20.829,20.897,20.764,20.883,499002
2023-03-26 13:00:00,20.883,21.127,20.834,21.11,907558
2023-03-26 14:00:00,21.111,21.115,20.729,20.814,911125
2023-03-26 15:00:00,20.813,20.903,20.73,20.802,526065
2023-03-26 16:00:00,20.802,20.861,20.635,20.665,531265
2023-03-26 17:00:00,20.665,20.846,20.649,20.841,451416
2023-03-26 18:00:00,20.842,21.0,20.827,20.924,543065
2023-03-26 19:00:00,20.924,20.955,20.854,20.911,243263
2023-03-26 20:00:00,20.911,20.995,20.743,20.839,443298
2023-03-26 21:00:00,20.837,20.876,20.774,20.859,201675
2023-03-26 22:00:00,20.858,21.047,20.828,21.02,469030
2023-03-26 23:00:00,21.021,21.09,20.925,20.931,408134
2023-03-27 00:00:00,20.929,20.978,20.845,20.883,423039
2023-03-27 01:00:00,20.883,20.908,20.661,20.677,521810
2023-03-27 02:00:00,20.677,20.7,20.55,20.666,618725
2023-03-27 03:00:00,20.665,20.748,20.619,20.699,320102
2023-03-27 04:00:00,20.698,20.733,20.627,20.7,304488
2023-03-27 05:00:00,20.702,20.719,20.419,20.491,656384
2023-03-27 06:00:00,20.491,20.587,20.434,20.548,489773
2023-03-27 07:00:00,20.55,20.568,20.358,20.435,625722
2023-03-27 08:00:00,20.436,20.504,20.335,20.476,528627
2023-03-27 09:00:00,20.476,20.618,20.409,20.591,597969
2023-03-27 10:00:00,20.59,20.61,20.501,20.57,395328
2023-03-27 11:00:00,20.57,20.65,20.538,20.606,435089
2023-03-27 12:00:00,20.607,20.707,20.46,20.518,720742
2023-03-27 13:00:00,20.518,20.581,20.374,20.461,886032
2023-03-27 14:00:00,20.461,20.526,19.838,19.875,2208790
2023-03-27 15:00:00,19.876,19.882,19.297,19.765,3159301
2023-03-27 16:00:00,19.765,19.95,19.607,19.668,1390668
2023-03-27 17:00:00,19.669,19.74,19.579,19.666,857893
2023-03-27 18:00:00,19.665,19.927,19.654,19.845,761016
2023-03-27 19:00:00,19.846,19.902,19.631,19.675,668624
2023-03-27 20:00:00,19.676,19.741,19.566,19.707,649925
2023-03-27 21:00:00,19.707,19.88,19.677,19.813,520800
2023-03-27 22:00:00,19.812,19.875,19.751,19.802,467483
2023-03-27 23:00:00,19.802,19.939,19.769,19.887,398427
2023-03-28 00:00:00,19.887,19.931,19.676,19.716,665087
2023-03-28 01:00:00,19.715,19.995,19.595,19.788,741778
2023-03-28 02:00:00,19.787,19.812,19.647,19.688,409056
2023-03-28 03:00:00,19.688,19.757,19.648,19.712,341250
2023-03-28 04:00:00,19.711,19.855,19.7,19.849,409982
2023-03-28 05:00:00,19.848,19.915,19.785,19.878,443202
2023-03-28 06:00:00,19.878,20.069,19.872,20.011,739796
2023-03-28 07:00:00,20.012,20.062,19.843,19.87,525941
2023-03-28 08:00:00,19.869,19.979,19.826,19.939,431737
2023-03-28 09:00:00,19.939,19.964,19.652,19.738,686539
2023-03-28 10:00:00,19.738,19.794,19.6,19.689,725288
2023-03-28 11:00:00,19.689,20.182,19.685,20.086,1166402
