datetime,open,high,low,close,signals,trade_type,position
2023-08-28,20.778,20.785,20.005,20.549,0,hold,100
2023-08-29,20.549,22.063,20.1,21.772,0,hold,100
2023-08-30,21.772,21.988,20.578,20.807,0,hold,100
2023-08-31,20.807,21.092,19.356,19.72,0,hold,100
2023-09-01,19.721,19.925,19.009,19.315,0,hold,100
2023-09-02,19.316,19.7,19.114,19.48,0,hold,100
2023-09-03,19.481,19.65,19.21,19.555,0,hold,100
2023-09-04,19.554,20.035,19.138,19.514,0,hold,100
2023-09-05,19.514,20.6,19.018,20.257,0,hold,100
2023-09-06,20.257,20.38,19.1,19.62,0,hold,100
2023-09-07,19.619,19.992,19.312,19.9,0,hold,100
2023-09-08,19.901,20.28,19.341,19.596,0,hold,100
2023-09-09,19.597,19.599,19.352,19.425,0,hold,100
2023-09-10,19.425,19.426,17.733,18.219,0,hold,100
2023-09-11,18.22,18.444,17.32,17.715,0,hold,100
2023-09-12,17.716,18.84,17.554,17.904,0,hold,100
2023-09-13,17.903,18.599,17.676,18.389,0,hold,100
2023-09-14,18.39,19.335,18.372,18.835,1,hold,100
2023-09-15,18.835,19.495,18.543,19.136,0,Exit Short,100
2023-09-16,19.137,19.459,18.846,19.112,0,hold,100
2023-09-17,19.111,19.126,18.6,18.798,0,hold,100
2023-09-18,18.799,20.15,18.56,19.628,0,hold,100
2023-09-19,19.627,20.444,19.553,20.019,0,hold,100
2023-09-20,20.018,20.547,19.776,20.278,0,hold,100
2023-09-21,20.277,20.288,19.273,19.442,0,hold,100
2023-09-22,19.443,19.804,19.13,19.417,-1,hold,100
2023-09-23,19.416,19.576,19.274,19.472,0,Short,100
2023-09-24,19.472,19.671,19.17,19.351,0,hold,100
2023-09-25,19.35,19.73,19.058,19.381,0,hold,100
2023-09-26,19.38,19.521,18.812,19.016,0,hold,100
2023-09-27,19.016,19.474,18.716,19.12,0,hold,100
2023-09-28,19.12,19.982,19.085,19.948,1,hold,100
2023-09-29,19.948,20.457,19.831,20.26,0,Exit Short,100
2023-09-30,20.259,21.797,20.055,21.348,0,hold,100
2023-10-01,21.347,24.506,21.118,23.873,0,hold,100
2023-10-02,23.873,24.83,22.826,23.366,0,hold,100
2023-10-03,23.366,24.777,23.165,23.594,0,hold,100
2023-10-04,23.595,23.85,22.543,23.106,0,hold,100
2023-10-05,23.106,23.75,22.483,22.682,0,hold,100
2023-10-06,22.681,23.78,22.648,23.391,0,hold,100
2023-10-07,23.391,24.208,23.064,23.279,0,hold,100
2023-10-08,23.279,23.642,23.046,23.204,0,hold,100
2023-10-09,23.204,23.364,21.5,22.077,0,hold,100
2023-10-10,22.078,22.477,21.676,22.107,-1,hold,100
2023-10-11,22.106,22.4,21.612,21.998,0,Short,100
2023-10-12,21.998,22.045,20.82,21.274,0,hold,100
2023-10-13,21.274,22.196,21.103,21.829,0,hold,100
2023-10-14,21.828,22.368,21.78,21.983,1,hold,100
2023-10-15,21.982,22.171,21.64,21.918,0,Exit Short,100
2023-10-16,21.918,25.048,21.876,23.939,0,hold,100
